listing_id,reviewer_id,compound,score,adjusted_score,rating
1178162,6663826,0.5413,4,4.0826,4
1178162,9101576,0.8641,4,5,5
1178162,17287987,0.7579,4,5,5
1178162,20263502,0.8495,4,5,5
1178162,20763927,0,2,3,3
1178162,1822593,-0.0765,2,2.847,3
1178162,22554506,-0.2982,2,2.4036,2
1178162,31210198,0.699,4,5,5
1178162,12717709,0.8519,4,5,5
1178162,33049657,0.7841,4,5,5
1178162,28249766,0.6808,4,5,5
1178162,40649244,0.8732,4,5,5
1178162,27488796,0,2,3,3
1178162,31705174,0.7425,4,5,5
1178162,48484486,0.8225,4,5,5
1178162,63408239,0.9198,4,5,5
7246272,19684942,0.8402,4,5,5
7246272,65331214,0.6857,4,5,5
7246272,40179319,0,2,3,3
13658522,85198098,0.8945,4,5,5
9364092,1211289,0,2,3,3
9364092,51948821,0.8849,4,5,5
The neighborhood has everything you need within a 2-10 minute walk: restaurants, wholefoods,0.6588,4,5,5
9364092,37224180,0.5983,4,4.1966,4
1365335,794070,0.8126,4,5,5
4573458,24374034,0.8934,4,5,5
4573458,13458686,0.8777,4,5,5
13943142,62183522,0,2,3,3
3236496,23481891,0.7579,4,5,5
56927,1025436,0.8074,4,5,5
56927,593747,0.4754,3,3.9508,4
4610745,30810995,0,2,3,3
4610745,4272338,0,2,3,3
12432535,62187408,0.9257,4,5,5
8238078,22180788,0,2,3,3
8238078,60706061,0.762,4,5,5
9857,4906602,0.8804,4,5,5
9857,5828680,0.7579,4,5,5
9857,3312378,0.9386,4,5,5
9857,2090801,0.7802,4,5,5
7745117,66964780,0.8516,4,5,5
7745117,14162621,0,2,3,3
11008495,43967414,0.8481,4,5,5
11008495,11266569,0.9469,4,5,5
13550412,28939858,0,2,3,3
13550412,37523886,0,2,3,3
3992208,6524576,0.9427,4,5,5
3992208,21107995,0.836,4,5,5
3992208,23940506,0.8689,4,5,5
3992208,4000406,0.6249,4,5,5
3992208,18115346,0.7959,4,5,5
3992208,12696999,0.9273,4,5,5
3992208,23852972,0.8074,4,5,5
"Let me be clear:  This place met our needs for the """"guy weekend""""", the apartment was basically a room with two mattresses on the floor,0,2,3,3
3992208,30810239,0,2,3,3
3992208,35716413,0.8221,4,5,5
3992208,29072968,-0.128,2,2.744,3
So, then there are no problems. However,0.4404,3,3.8808,4
3992208,43131526,0.882,4,5,5
3992208,45954378,0,2,3,3
3992208,2090137,0.5267,4,4.0534,4
3992208,49942833,0,2,3,3
3992208,37175383,0,2,3,3
3992208,3610684,0.8016,4,5,5
3992208,17131746,0.9595,4,5,5
3992208,10142922,0.7227,4,5,5
3992208,66977340,0.8126,4,5,5
3992208,30216858,-0.4773,2,2.0454,2
13077603,41474916,0.7723,4,5,5
4287366,17530066,0,2,3,3
8327907,52952040,0,2,3,3
10353263,68454905,0,2,3,3
14483758,66192204,0.8016,4,5,5
213086,15356808,0.9637,4,5,5
11986653,42982369,0.8832,4,5,5
11986653,27922445,0.7339,4,5,5
As described, and near the beach! It has a really good shower,0,2,3,3
3988018,21650724,0.5106,4,4.0212,4
3988018,7803184,0.8555,4,5,5
3988018,21336224,0.9118,4,5,5
3988018,20324395,0.6588,4,5,5
3988018,23670925,0.8576,4,5,5
3988018,26006734,0.8516,4,5,5
3988018,25551214,0.8016,4,5,5
3988018,42860813,0.8126,4,5,5
3988018,33158615,0.4215,3,3.843,4
3988018,33323466,0.7096,4,5,5
3988018,10572106,0.9432,4,5,5
3988018,48938040,0.9862,4,5,5
3988018,77398362,0.6114,4,5,5
6316145,33803281,0.8346,4,5,5
6316145,15958158,0.9465,4,5,5
6316145,43378661,0.9118,4,5,5
6316145,51730683,0.8803,4,5,5
6316145,21938012,0.9284,4,5,5
6316145,41409903,0.762,4,5,5
This apartment had had a long term renter in it that moved out the day before we arrived.  Seamless' cleaning crew worked on it all day and when we arrived it appeared clean on the surface, sticky spots on the floor,-0.6124,1,1.7752,2
3783090,5472831,0.9281,4,5,5
3783090,36082755,0.8012,4,5,5
8354938,45381622,0.8948,4,5,5
8354938,52106178,0.8976,4,5,5
6609546,15180472,0.9792,4,5,5
6609546,37160287,0.8553,4,5,5
6609546,42425957,0.8908,4,5,5
6609546,9350975,0.8999,4,5,5
6609546,28313045,0,2,3,3
6609546,14616968,0.9665,4,5,5
6609546,18922263,0.8969,4,5,5
6609546,40074968,0.9097,4,5,5
6609546,652585,0.9213,4,5,5
6609546,53392312,0.9421,4,5,5
6609546,87404138,0.1984,3,3.3968,3
6314998,34149619,0.7845,4,5,5
6314998,43482006,0.5244,4,4.0488,4
6314998,84038409,0.5574,4,4.1148,4
6314998,79392165,0.0516,3,3.1032,3
6314998,69453071,0.4019,3,3.8038,4
7805515,44294610,0.7184,4,5,5
7805515,2032545,0.7783,4,5,5
7805515,60683213,0.552,4,4.104,4
6214710,12789718,0.9243,4,5,5
Every room feels private, including the bath robes,0.4939,3,3.9878,4
1321422,12326582,0.802,4,5,5
1321422,17734947,0.6249,4,5,5
1321422,14760424,0.6114,4,5,5
1321422,174025,0.6597,4,5,5
1321422,22904675,0.802,4,5,5
1321422,12909311,0.6249,4,5,5
1321422,20525374,0.9053,4,5,5
1321422,49524591,0.7764,4,5,5
1321422,54680136,0.9415,4,5,5
1321422,14559405,0,2,3,3
1321422,56917985,0.6901,4,5,5
1321422,4957837,0.8012,4,5,5
1321422,41415792,0.8316,4,5,5
5364137,8851871,0,2,3,3
5364137,25440646,0,2,3,3
5364137,47991582,0,2,3,3
12621291,50770935,0,2,3,3
12621291,55532213,0.8588,4,5,5
3945704,30347199,0.9152,4,5,5
3945704,93564,0.9641,4,5,5
3945704,44617707,0.8176,4,5,5
3945704,45643568,0.8511,4,5,5
3945704,26140704,0.9076,4,5,5
3945704,80696528,0.656,4,5,5
3945704,50769495,0,2,3,3
3945704,18656288,0.5983,4,4.1966,4
7881551,12065953,0.8625,4,5,5
7881551,51157136,0.8658,4,5,5
7881551,21501789,0.7712,4,5,5
7881551,26047285,-0.296,2,2.408,2
7881551,15783972,0.9669,4,5,5
7881551,26499303,0.8805,4,5,5
7881551,71308196,0.6249,4,5,5
7881551,76230879,0.9623,4,5,5
7881551,76919518,0.0516,3,3.1032,3
7881551,14927736,0.7346,4,5,5
6765855,23948520,0.6249,4,5,5
6765855,40387947,0.8392,4,5,5
6765855,24521622,0.6249,4,5,5
14760739,31876784,0.6588,4,5,5
8624898,29928328,0.8074,4,5,5
8624898,6314664,0.9589,4,5,5
8624898,64467472,0,2,3,3
8624898,1609105,0.8316,4,5,5
8624898,62526172,0.8952,4,5,5
6134867,31918993,0.5719,4,4.1438,4
6134867,10322860,0.5719,4,4.1438,4
6134867,37371681,0.8625,4,5,5
6134867,39243218,0.9014,4,5,5
6134867,5934189,0.8795,4,5,5
6134867,38306039,0.9693,4,5,5
6134867,16822882,0.9642,4,5,5
6134867,6176681,0.8439,4,5,5
6134867,54113044,0.6452,4,5,5
6134867,20168456,0.8682,4,5,5
